Tenant Name,Default Admin,Total Users,Admins,Members,Exported At
Ikeja Laundry Tenant,N/A,0,0,0,2026-01-18T00:46:31.199853
Lekki Catering Tenant,N/A,0,0,0,2026-01-18T00:46:31.203018
Group Tenant,N/A,0,0,0,2026-01-18T00:46:31.206743
LLC Tenant,N/A,0,0,0,2026-01-18T00:46:31.211288
Ltd Tenant,N/A,0,0,0,2026-01-18T00:46:31.214949
and Sons Tenant,N/A,0,0,0,2026-01-18T00:46:31.218670
Ltd Tenant,N/A,0,0,0,2026-01-18T00:46:31.222513
PLC Tenant,N/A,0,0,0,2026-01-18T00:46:31.228713
PLC Tenant,N/A,0,0,0,2026-01-18T00:46:31.232229
Inc Tenant,N/A,0,0,0,2026-01-18T00:46:31.235865
Group Tenant,N/A,0,0,0,2026-01-18T00:46:31.241269
and Sons Tenant,N/A,0,0,0,2026-01-18T00:46:31.245444
PLC Tenant,N/A,0,0,0,2026-01-18T00:46:31.249044
Ltd Tenant,N/A,0,0,0,2026-01-18T00:46:31.252148
and Sons Tenant,N/A,0,0,0,2026-01-18T00:46:31.255790
and Sons Tenant,N/A,0,0,0,2026-01-18T00:46:31.261404
Inc Tenant,N/A,0,0,0,2026-01-18T00:46:31.264730
PLC Tenant,N/A,0,0,0,2026-01-18T00:46:31.267796
PLC Tenant,N/A,0,0,0,2026-01-18T00:46:31.271048
PLC Tenant,N/A,0,0,0,2026-01-18T00:46:31.276586
and Sons Tenant,N/A,0,0,0,2026-01-18T00:46:31.279901
Inc Tenant,N/A,0,0,0,2026-01-18T00:46:31.283238
Group Tenant,N/A,0,0,0,2026-01-18T00:46:31.286315
LLC Tenant,N/A,0,0,0,2026-01-18T00:46:31.290714
Inc Tenant,N/A,0,0,0,2026-01-18T00:46:31.295108
PLC Tenant,N/A,0,0,0,2026-01-18T00:46:31.298640
and Sons Tenant,N/A,0,0,0,2026-01-18T00:46:31.301690
LLC Tenant,N/A,0,0,0,2026-01-18T00:46:31.304876
