Tenant Name,Default Admin,Total Users,Admins,Members,Exported At
Ikeja Laundry Tenant,N/A,0,0,0,2026-01-18T00:45:23.239893
Lekki Catering Tenant,N/A,0,0,0,2026-01-18T00:45:23.243065
Group Tenant,N/A,0,0,0,2026-01-18T00:45:23.246750
LLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.252288
Ltd Tenant,N/A,0,0,0,2026-01-18T00:45:23.255964
and Sons Tenant,N/A,0,0,0,2026-01-18T00:45:23.259239
Ltd Tenant,N/A,0,0,0,2026-01-18T00:45:23.263646
PLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.269185
PLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.275106
Inc Tenant,N/A,0,0,0,2026-01-18T00:45:23.280368
Group Tenant,N/A,0,0,0,2026-01-18T00:45:23.285063
and Sons Tenant,N/A,0,0,0,2026-01-18T00:45:23.289415
PLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.292739
Ltd Tenant,N/A,0,0,0,2026-01-18T00:45:23.297504
and Sons Tenant,N/A,0,0,0,2026-01-18T00:45:23.301453
and Sons Tenant,N/A,0,0,0,2026-01-18T00:45:23.304958
Inc Tenant,N/A,0,0,0,2026-01-18T00:45:23.307987
PLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.311422
PLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.316806
PLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.320453
and Sons Tenant,N/A,0,0,0,2026-01-18T00:45:23.323515
Inc Tenant,N/A,0,0,0,2026-01-18T00:45:23.326572
Group Tenant,N/A,0,0,0,2026-01-18T00:45:23.332081
LLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.335588
Inc Tenant,N/A,0,0,0,2026-01-18T00:45:23.338962
PLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.342001
and Sons Tenant,N/A,0,0,0,2026-01-18T00:45:23.346332
LLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.350931
PLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.354478
PLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.358415
Inc Tenant,N/A,0,0,0,2026-01-18T00:45:23.363639
Group Tenant,N/A,0,0,0,2026-01-18T00:45:23.368549
Group Tenant,N/A,0,0,0,2026-01-18T00:45:23.372176
LLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.376173
LLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.384420
Ltd Tenant,hhebert,5,4,1,2026-01-18T00:45:23.392090
Inc Tenant,N/A,3,0,3,2026-01-18T00:45:23.397294
LLC Tenant,danielletaylor,3,1,2,2026-01-18T00:45:23.402522
and Sons Tenant,michael19,1,1,0,2026-01-18T00:45:23.406506
LLC Tenant,dianajohnson,5,2,3,2026-01-18T00:45:23.410279
LLC Tenant,anna56,3,2,1,2026-01-18T00:45:23.416227
Inc Tenant,tpowell,2,1,1,2026-01-18T00:45:23.420371
Inc Tenant,vdiaz,3,1,2,2026-01-18T00:45:23.424440
and Sons Tenant,wardcindy,4,3,1,2026-01-18T00:45:23.429005
Ltd Tenant,george31,1,1,0,2026-01-18T00:45:23.434422
Inc Tenant,joannaweaver,5,2,3,2026-01-18T00:45:23.438321
Ltd Tenant,timothy38,1,1,0,2026-01-18T00:45:23.442060
LLC Tenant,N/A,0,0,0,2026-01-18T00:45:23.446308
PLC Tenant,N/A,2,0,2,2026-01-18T00:45:23.450741
and Sons Tenant,N/A,1,0,1,2026-01-18T00:45:23.454053
Inc Tenant,humphreychristopher,2,2,0,2026-01-18T00:45:23.457835
and Sons Tenant,balljohn,2,1,1,2026-01-18T00:45:23.462956
LLC Tenant,stephanieperry,5,4,1,2026-01-18T00:45:23.468111
Ltd Tenant,caitlinmedina,3,1,2,2026-01-18T00:45:23.472300
LLC Tenant,N/A,1,0,1,2026-01-18T00:45:23.475324
Ltd Tenant,perkinsanthony,4,2,2,2026-01-18T00:45:23.480956
PLC Tenant,ywood,3,1,2,2026-01-18T00:45:23.485334
and Sons Tenant,alyssavillanueva,2,1,1,2026-01-18T00:45:23.489637
Inc Tenant,inc_tenant_admin,4,3,1,2026-01-18T00:45:23.493614
PLC Tenant,plc_tenant_admin,7,5,2,2026-01-18T00:45:23.499600
Inc Tenant,N/A,0,0,0,2026-01-18T00:45:23.502792
Group Tenant,group_tenant_admin,3,2,1,2026-01-18T00:45:23.506622
