Tenant Name,Default Admin,Total Users,Admins,Members,Exported At
Ikeja Laundry Tenant,N/A,0,0,0,20260118_004156
Lekki Catering Tenant,N/A,0,0,0,20260118_004156
Group Tenant,N/A,0,0,0,20260118_004156
LLC Tenant,N/A,0,0,0,20260118_004156
Ltd Tenant,N/A,0,0,0,20260118_004156
and Sons Tenant,N/A,0,0,0,20260118_004156
Ltd Tenant,N/A,0,0,0,20260118_004156
PLC Tenant,N/A,0,0,0,20260118_004156
PLC Tenant,N/A,0,0,0,20260118_004156
Inc Tenant,N/A,0,0,0,20260118_004156
Group Tenant,N/A,0,0,0,20260118_004156
and Sons Tenant,N/A,0,0,0,20260118_004156
PLC Tenant,N/A,0,0,0,20260118_004156
Ltd Tenant,N/A,0,0,0,20260118_004156
and Sons Tenant,N/A,0,0,0,20260118_004156
and Sons Tenant,N/A,0,0,0,20260118_004156
Inc Tenant,N/A,0,0,0,20260118_004156
PLC Tenant,N/A,0,0,0,20260118_004156
PLC Tenant,N/A,0,0,0,20260118_004156
PLC Tenant,N/A,0,0,0,20260118_004156
and Sons Tenant,N/A,0,0,0,20260118_004156
Inc Tenant,N/A,0,0,0,20260118_004156
Group Tenant,N/A,0,0,0,20260118_004156
LLC Tenant,N/A,0,0,0,20260118_004156
Inc Tenant,N/A,0,0,0,20260118_004156
PLC Tenant,N/A,0,0,0,20260118_004156
and Sons Tenant,N/A,0,0,0,20260118_004156
LLC Tenant,N/A,0,0,0,20260118_004156
PLC Tenant,N/A,0,0,0,20260118_004156
PLC Tenant,N/A,0,0,0,20260118_004156
Inc Tenant,N/A,0,0,0,20260118_004156
Group Tenant,N/A,0,0,0,20260118_004156
Group Tenant,N/A,0,0,0,20260118_004156
LLC Tenant,N/A,0,0,0,20260118_004156
LLC Tenant,N/A,0,0,0,20260118_004156
Ltd Tenant,hhebert,5,4,1,20260118_004156
Inc Tenant,N/A,3,0,3,20260118_004156
LLC Tenant,danielletaylor,3,1,2,20260118_004156
and Sons Tenant,michael19,1,1,0,20260118_004156
LLC Tenant,dianajohnson,5,2,3,20260118_004156
LLC Tenant,anna56,3,2,1,20260118_004156
Inc Tenant,tpowell,2,1,1,20260118_004156
Inc Tenant,vdiaz,3,1,2,20260118_004156
and Sons Tenant,wardcindy,4,3,1,20260118_004156
Ltd Tenant,george31,1,1,0,20260118_004156
Inc Tenant,joannaweaver,5,2,3,20260118_004156
Ltd Tenant,timothy38,1,1,0,20260118_004156
LLC Tenant,N/A,0,0,0,20260118_004156
PLC Tenant,N/A,2,0,2,20260118_004156
and Sons Tenant,N/A,1,0,1,20260118_004156
Inc Tenant,humphreychristopher,2,2,0,20260118_004156
and Sons Tenant,balljohn,2,1,1,20260118_004156
LLC Tenant,stephanieperry,5,4,1,20260118_004156
Ltd Tenant,caitlinmedina,3,1,2,20260118_004156
LLC Tenant,N/A,1,0,1,20260118_004156
Ltd Tenant,perkinsanthony,4,2,2,20260118_004156
PLC Tenant,ywood,3,1,2,20260118_004156
and Sons Tenant,alyssavillanueva,2,1,1,20260118_004156
Inc Tenant,inc_tenant_admin,4,3,1,20260118_004156
PLC Tenant,plc_tenant_admin,7,5,2,20260118_004156
Inc Tenant,N/A,0,0,0,20260118_004156
Group Tenant,group_tenant_admin,3,2,1,20260118_004156
Inc Tenant,N/A,3,0,3,20260118_004156
Ltd Tenant,ltd_tenant_admin,6,4,2,20260118_004156
LLC Tenant,llc_tenant_admin,3,2,1,20260118_004156
Inc Tenant,N/A,0,0,0,20260118_004156
LLC Tenant,N/A,0,0,0,20260118_004156
Group Tenant,mariejenkins,3,1,2,20260118_004156
Group Tenant,amydeleon,2,2,0,20260118_004156
and Sons Tenant,and_sons_tenant_admin,4,3,1,20260118_004156
Inc Tenant,anthony26,2,1,1,20260118_004156
Ltd Tenant,N/A,1,0,1,20260118_004156
Ltd Tenant,banksedwin,3,1,2,20260118_004156
and Sons Tenant,rrice,6,3,3,20260118_004156
PLC Tenant,ymartin,3,3,0,20260118_004156
Inc Tenant,N/A,0,0,0,20260118_004156
Inc Tenant,mosleyandrew,3,3,0,20260118_004156
and Sons Tenant,N/A,1,0,1,20260118_004156
and Sons Tenant,N/A,1,0,1,20260118_004156
Inc Tenant,jonathanscott,3,3,0,20260118_004156
LLC Tenant,tonya90,2,1,1,20260118_004156
and Sons Tenant,N/A,4,0,4,20260118_004156
LLC Tenant,twilliams,3,1,2,20260118_004156
Ltd Tenant,N/A,0,0,0,20260118_004156
Ltd Tenant,N/A,1,0,1,20260118_004156
and Sons Tenant,N/A,2,0,2,20260118_004156
Ltd Tenant,ashleyhughes,5,1,4,20260118_004156
Inc Tenant,amy09,3,2,1,20260118_004156
PLC Tenant,qhernandez,1,1,0,20260118_004156
PLC Tenant,alan75,4,4,0,20260118_004156
Ltd Tenant,oconnellbrian,2,1,1,20260118_004156
Group Tenant,N/A,2,0,2,20260118_004156
PLC Tenant,dvelasquez,3,1,2,20260118_004156
Inc Tenant,jennifer64,4,3,1,20260118_004156
Ltd Tenant,charleslarson,3,2,1,20260118_004156
and Sons Tenant,laura64,2,2,0,20260118_004156
and Sons Tenant,N/A,0,0,0,20260118_004156
Ltd Tenant,markmcgrath,2,1,1,20260118_004156
LLC Tenant,N/A,2,0,2,20260118_004156
Group Tenant,N/A,4,0,4,20260118_004156
Inc Tenant,N/A,0,0,0,20260118_004156
Inc Tenant,N/A,2,0,2,20260118_004156
Ltd Tenant,wolfterri,4,4,0,20260118_004156
Group Tenant,ochapman,3,2,1,20260118_004156
and Sons Tenant,jamesparker,1,1,0,20260118_004156
and Sons Tenant,N/A,2,0,2,20260118_004156
LLC Tenant,N/A,2,0,2,20260118_004156
Group Tenant,nicholas96,3,1,2,20260118_004156
Ltd Tenant,arnoldjulia,2,2,0,20260118_004156
